frame,frame_latency_ms,visible_gaussians,gaussian_instances,max_tile_load,average_tile_load
164,60.93,598667,26893344,9291,3622.49
165,62.745,598667,26893344,9291,3622.49
166,61.41,598667,26893344,9291,3622.49
167,61.015,598667,26893344,9291,3622.49
168,63.827,598667,26893344,9291,3622.49
169,60.91,598667,26893344,9291,3622.49
170,62.456,598667,26893344,9291,3622.49
171,61.235,598667,26893344,9291,3622.49
172,61.846,598667,26893344,9291,3622.49
173,60.818,598667,26893344,9291,3622.49
174,59.757,598667,26893344,9291,3622.49
175,61.3,598667,26893344,9291,3622.49
176,60.751,598667,26893344,9291,3622.49
177,61.088,598667,26893344,9291,3622.49
178,61.443,598667,26893344,9291,3622.49
179,61.98,598667,26893344,9291,3622.49
180,60.553,598667,26893344,9291,3622.49
181,62.588,598667,26893344,9291,3622.49
182,61.76,598667,26893344,9291,3622.49
183,62.298,598667,26893344,9291,3622.49
184,61.094,598667,26893344,9291,3622.49
185,60.772,598667,26893344,9291,3622.49
186,61.221,598667,26893344,9291,3622.49
187,61.465,598667,26893344,9291,3622.49
188,60.526,598667,26893344,9291,3622.49
189,61.677,598667,26893344,9291,3622.49
190,60.712,598667,26893344,9291,3622.49
191,60.473,598667,26893344,9291,3622.49
192,61.31,598667,26893344,9291,3622.49
193,60.877,598667,26893344,9291,3622.49
194,61.786,598667,26893344,9291,3622.49
195,60.478,598667,26893344,9291,3622.49
196,61.394,598667,26893344,9291,3622.49
197,59.415,598667,26893344,9291,3622.49
198,62.136,598667,26893344,9291,3622.49
199,63.236,598667,26893344,9291,3622.49
200,60.942,598667,26893344,9291,3622.49
201,61.821,598667,26893344,9291,3622.49
202,61.222,598667,26893344,9291,3622.49
203,61.941,598667,26893344,9291,3622.49
204,61.678,598667,26893344,9291,3622.49
205,61.89,598667,26893344,9291,3622.49
206,60.553,598667,26893344,9291,3622.49
207,60.511,598667,26893344,9291,3622.49
208,61.025,598667,26893344,9291,3622.49
209,62.478,598667,26893344,9291,3622.49
210,61.63,598667,26893344,9291,3622.49
211,62.612,598667,26893344,9291,3622.49
212,62.733,598667,26893344,9291,3622.49
213,61.72,598667,26893344,9291,3622.49
214,60.123,598667,26893344,9291,3622.49
215,61.331,598667,26893344,9291,3622.49
216,60.369,598667,26893344,9291,3622.49
217,61.517,598667,26893344,9291,3622.49
218,61.565,598667,26893344,9291,3622.49
219,60.794,598667,26893344,9291,3622.49
220,61.066,598667,26893344,9291,3622.49
221,61.421,598667,26893344,9291,3622.49
222,63.184,598667,26893344,9291,3622.49
223,61.92,598667,26893344,9291,3622.49
224,63.396,598667,26893344,9291,3622.49
225,61.951,598667,26893344,9291,3622.49
226,62.023,598667,26893344,9291,3622.49
227,61.159,598667,26893344,9291,3622.49
228,61.793,598667,26893344,9291,3622.49
229,60.374,598667,26893344,9291,3622.49
230,61.455,598667,26893344,9291,3622.49
231,60.053,598667,26893344,9291,3622.49
232,61.915,598667,26893344,9291,3622.49
233,62.236,598667,26893344,9291,3622.49
234,61.435,598667,26893344,9291,3622.49
235,62.859,598667,26893344,9291,3622.49
236,60.933,598667,26893344,9291,3622.49
237,63.544,598667,26893344,9291,3622.49
238,61.187,598667,26893344,9291,3622.49
239,60.006,598667,26893344,9291,3622.49
240,62.534,598667,26893344,9291,3622.49
241,62.408,598667,26893344,9291,3622.49
242,61.101,598667,26893344,9291,3622.49
243,60.572,598667,26893344,9291,3622.49
244,60.825,598667,26893344,9291,3622.49
245,61.542,598667,26893344,9291,3622.49
246,61.193,598667,26893344,9291,3622.49
247,61.948,598667,26893344,9291,3622.49
248,60.57,598667,26893344,9291,3622.49
249,62.242,598667,26893344,9291,3622.49
250,63.039,598667,26893344,9291,3622.49
251,60.407,598667,26893344,9291,3622.49
252,60.46,598667,26893344,9291,3622.49
253,61.659,598667,26893344,9291,3622.49
254,62.163,598667,26893344,9291,3622.49
255,61.653,598667,26893344,9291,3622.49
256,60.885,598667,26893344,9291,3622.49
257,61.035,598667,26893344,9291,3622.49
258,62.252,598667,26893344,9291,3622.49
259,62.123,598667,26893344,9291,3622.49
260,60.285,598667,26893344,9291,3622.49
261,61.462,598667,26893344,9291,3622.49
262,62.187,598667,26893344,9291,3622.49
263,62.051,598667,26893344,9291,3622.49
264,62.09,598667,26893344,9291,3622.49
265,60.69,598667,26893344,9291,3622.49
266,62.204,598667,26893344,9291,3622.49
267,61.697,598667,26893344,9291,3622.49
268,61.764,598667,26893344,9291,3622.49
269,60.697,598667,26893344,9291,3622.49
270,62.395,598667,26893344,9291,3622.49
271,60.928,598667,26893344,9291,3622.49
272,61.022,598667,26893344,9291,3622.49
273,60.731,598667,26893344,9291,3622.49
274,61.778,598667,26893344,9291,3622.49
275,60.434,598667,26893344,9291,3622.49
276,62.107,598667,26893344,9291,3622.49
277,62.426,598667,26893344,9291,3622.49
278,61.134,598667,26893344,9291,3622.49
279,62.544,598667,26893344,9291,3622.49
280,61.379,598667,26893344,9291,3622.49
281,62.351,598667,26893344,9291,3622.49
282,61.036,598667,26893344,9291,3622.49
283,62.854,598667,26893344,9291,3622.49
284,60.458,598667,26893344,9291,3622.49
285,61.713,598667,26893344,9291,3622.49
286,61.997,598667,26893344,9291,3622.49
287,61.632,598667,26893344,9291,3622.49
288,60.884,598667,26893344,9291,3622.49
289,61.642,598667,26893344,9291,3622.49
290,62.099,598667,26893344,9291,3622.49
291,61.163,598667,26893344,9291,3622.49
292,63.42,598667,26893344,9291,3622.49
293,61.307,598667,26893344,9291,3622.49
294,61.706,598667,26893344,9291,3622.49
295,61.108,598667,26893344,9291,3622.49
296,62.202,598667,26893344,9291,3622.49
297,61.921,598667,26893344,9291,3622.49
298,61.838,598667,26893344,9291,3622.49
299,61.055,598667,26893344,9291,3622.49
300,61.593,598667,26893344,9291,3622.49
301,62.656,598667,26893344,9291,3622.49
302,63.774,598667,26893344,9291,3622.49
303,63.253,598667,26893344,9291,3622.49
304,61.443,598667,26893344,9291,3622.49
305,62.26,598667,26893344,9291,3622.49
306,63.909,598667,26893344,9291,3622.49
307,62.571,598667,26893344,9291,3622.49
308,63.061,598667,26893344,9291,3622.49
309,62.896,598667,26893344,9291,3622.49
310,63.179,598667,26893344,9291,3622.49
